"","id_jogador","nome_jogador","posicao","altura","peso"
"1",61,"Luiz Felipe Faria Azevedo Filho","Ala","1.9",NA
"2",736,"Johnnie Nascimento S. Reis","Ala","1.85",NA
"3",138,"Luis Fernando da Silva","Ala/Armador","1.83","84kg"
"4",178,"Marcos Vinícius Inácio","Pivô","2.05","120kg"
"5",275,"Arnaldo De Souza Moreira Filho","Ala/Armador",NA,"87kg"
"6",277,"Rafael Carlos Stabile Silva","Ala","1.95","100kg"
"7",1059,"Ricardo Santos Gaspar","Ala/Pivô","2.05",NA
"8",21,"Felipe Gustavo Da Silva","Armador","1.87",NA
"9",335,"Márcio Faria De Azevedo","Armador","0",NA
"10",23,"Arlindo Gomes Baltazar Neto","Ala/Armador",NA,"76kg"
"11",339,"Amiel Morejon Vega","Ala/Pivô","0",NA
"12",59,"Manuil Egídio Leal De Souza","Pivô","2.13",NA
"13",351,"André Luiz Quirino Pereira","Pivô","2.05","105kg"
"14",131,"Julio Cesar De Toledo","Ala/Pivô","0",NA
"15",60,"Robson Coimbra Vesper","Ala","1.95",NA
"16",172,"Lucas Moura Costa","Ala","1.86",NA
"17",216,"Renan Santos Lenz","Pivô",NA,"102kg"
"18",276,"Henrique Miguel Nunes","Armador","0",NA
"19",278,"Diego Dos Santos Augusto","Pivô","1.75",NA
"20",325,"Omar Kennedy Bertolin Pereira","Pivô","2.03",NA
"21",22,"Francisco Tardivo Delben","Ala/Pivô","2.02",NA
"22",338,"Leonardo De Oliveira Gomes","Armador","0",NA
"23",58,"Alexandre Henrique Santos Pinheiro","Armador","1.85","89kg"
"24",341,"Guilherme Schneider","Ala",NA,"85kg"
"25",442,"Joseph Delano Shipp Iii","Ala/Pivô","0",NA
"26",267,"Eduardo Magalhães Machado","Ala/Armador",NA,"90kg"
"27",140,"Eduardo Mariano de Oliveira","Ala","1.93","95kg"
"28",286,"Eduardo Augusto Reis Baeta","Ala","1.95",NA
"29",323,"Thiago Fabiano Da Silva Pereira","Armador","1.91",NA
"30",166,"Vinícius Villela Gobor","Armador",NA,"90kg"
"31",34,"Márcio Santos Cipriano","Ala/Pivô","2",NA
"32",104,"Paulo Rogerio Nery","Armador","1.9",NA
"33",449,"Fernando Feres Penna","Armador","1.89",NA
"34",293,"Daniel Fonseca Barreto Soares","Armador","1.9",NA
"35",269,"Antwine Cyprian Williams","Ala","1.91",NA
"36",288,"Fernando Ferreira Dos Reis","Armador","1.86",NA
"37",352,"Anderson Jose De Oliveira","Pivô","2.02",NA
"38",168,"Guilherme Santos Hubner","Ala/Pivô","2.1","115kg"
"39",101,"Thiago Melo","Armador","1.77",NA
"40",36,"José Estevam Ferreira Junior","Pivô","2.11",NA
"41",213,"Leandro Sedenir Buboltz","Ala/Armador","2",NA
"42",331,"Bruno Machado Pinto E Silva","Armador","0",NA
"43",294,"Flavio Aurélio Dos Santos Soares","Armador","1.87",NA
"44",290,"Nilo Rodrigues da Costa Júnior","Ala","1.98",NA
"45",187,"Murilo Becker da Rosa","Pivô","2.08","115kg"
"46",106,"Rodrigo Reis Silva","Pivô","2.06",NA
"47",39,"Diego Pinheiro Da Silva","Ala","1.95",NA
"48",300,"Thulius Kreling Da Rosa","Armador","0",NA
"49",354,"Júlio César Pereira Correa","Armador","0",NA
"50",314,"Luis Fernando Lima dos Santos","Ala","1.93",NA
"51",481,"Alex Ribeiro Garcia","Ala","1.9","100kg"
"52",189,"Raul Togni Neto","Armador","1.84",NA
"53",118,"Bruno Enrico Mortari","Ala","1.86",NA
"54",43,"Shilton Alessanco dos Santos","Pivô","1.98","112kg"
"55",79,"Flavio Henrique Alves","Ala/Pivô","1.95",NA
"56",304,"Icaro Parisotto","Armador","1.85",NA
"57",482,"Carlos Alexandre Rodrigues do Nascimento","Ala/Pivô","2.03","106kg"
"58",794,"Isaac Rafael Gonçalves","Ala","1.92","96kg"
"59",1058,"Jefferson Campos","Ala/Armador",NA,"86kg"
"60",152,"Hélio Vitor Luiz da Costa Lima","Ala/Armador","1.87","89kg"
"61",50,"Augusto Cesar Bresolin Goes","Ala/Pivô","1.95",NA
"62",82,"Henrique Nogueira Hernandes","Ala/Pivô","1.93",NA
"63",307,"Ildes Henrique Dos Santos","Armador","0",NA
"64",319,"Ricardo Laste","Armador","0",NA
"65",858,"Atílio Leonardo Gomes de Mello","Pivô","2.06","130kg"
"66",154,"Jefferson William Andrade da Silva Antônio","Ala/Pivô","2.07"," 104kg"
"67",62,"Tiago Valentim de Lima","Pivô",NA,"110kg"
"68",160,"David Da Silva Teles","Pivô","2.04",NA
"69",309,"Fabricio Russo de Oliveira","Ala","2",NA
"70",55,"Andre Luiz G. de Oliveira","Pivô","2.05",NA
"71",366,"Welington Reginaldo dos Santos","Armador","1.85","75kg"
"72",330,"Willians Lucas Ferreira Da Silva","Ala/Pivô","2.02","120kg"
"73",191,"Rafael Paulo De Lara Araújo","Pivô","2.12",NA
"74",117,"Renato Lamas Pinto","Ala","2.03",NA
"75",263,"Ricardo Junqueira Giannecchini","Armador","1.81",NA
"76",320,"Andre Luiz Marques Ferreira Dos Santos","Ala","1.98",NA
"77",107,"Rafael Ferreira De Souza","Ala/Pivô","2.09","104kg"
"78",32,"Adriano Jose Faggeane Galvão","Armador","1.92",NA
"79",358,"Fransérgio Gilberto Marques","Ala","1.89",NA
"80",203,"Wagner de Carvalho França Mattos","NOTFOUNDCONFIRMED",NA,NA
"81",137,"Shamell Jermaine Stallworth","Ala",NA,"97kg"
"82",280,"Andre Luis Fonseca Guimarães","Armador","0",NA
"83",322,"Ricardo Augusto Ferreira Ignácio","Armador","0",NA
"84",165,"Leandro Da Cruz Silva","Ala/Pivô","2.03",NA
"85",33,"Frederico Rossi Dos Santos","Ala","1.95",NA
"86",1007,"Vinicius de Oliveira Cornelio Pastor","Ala","2","103kg"
"87",447,"André Stefanelli Martins","Ala","1.98","92kg"
"88",268,"Marcellus Sarmento Câmara da Silva","Ala","1.88","96kg"
"89",182,"Guilherme Frantz Teichmann","Ala/Pivô","2.04",NA
"90",287,"Alfredo Luiz Perandini","Ala","1.94",NA
"91",348,"Bruno Vieira da Cruz Langsdorff","Armador","1.88","92kg"
"92",167,"Rodrigo César Silva","Ala/Pivô","2.05",NA
"93",86,"Guilherme Filipin Alves Pereira","Ala",NA,"97kg"
"94",35,"Rafael Rodrigues","Pivô",NA,NA
"95",113,"Paulo Fernando Moreira De Castro","Pivô","2.11",NA
"96",311,"Daniel Andreev Conti","Pivô","2.02",NA
"97",848,"Adriano de Abreu  Machado","Pivô",NA,"104kg"
"98",289,"Jorge Luis Amaral Seraphim","Armador","0",NA
"99",363,"Luis Guilherme Dos Santos","Armador","1.8",NA
"100",175,"Thiago Farias Mathias Rosa","Pivô",NA,"115kg"
"101",102,"Leonardo Di Pacce Dos Santos","Pivô",NA,NA
"102",768,"Tchielo Lisboa Camboim","Ala/Pivô","2",NA
"103",270,"Rodrigo Del Arco","Armador","1.76",NA
"104",334,"Rafael De Souza Fusco","Ala","1.92",NA
"105",297,"Fabiano De Oliveira Souza","Ala/Pivô","0",NA
"106",480,"Valter Apolinario Da Silva","Armador","1.85","90kg"
"107",188,"Facundo Luis Sucatzky","Armador","1.77",NA
"108",114,"Aristides Josuel Dos Santos","Pivô","2.05",NA
"109",42,"Fábio Schoenberger","Ala","1.92",NA
"110",75,"Rodrigo Pereira Santos Bispo","Pivô","2.04",NA
"111",302,"Rafael Sabbag","Armador","0",NA
"112",367,"Marcus Vinícius Vieira de Sousa","Ala","2.07","101kg"
"113",315,"Eric Arthur Romualdo","Armador","1.85","80kg"
"114",271,"Thomas Lutke Gehrke","Ala/Pivô","2.03",NA
"115",122,"Fernando Martins Alvim","Pivô","2.02","100kg"
"116",46,"Douglas De Paulo Viegas","Ala/Pivô","1.96",NA
"117",81,"Anderson Eurípedes Ferreira","Ala/Pivô","2.05","105kg"
"118",306,"Cristiano Baierle","Ala/Pivô","2.01",NA
"119",483,"Vitor Alves Benite","Ala/Armador","1.9",NA
"120",318,"Luis Fernando Pascotti","Pivô","0",NA
"121",326,"Thomaz de Moura Melazzo","Ala/Pivô","2.02",NA
"122",153,"Frederico Lima Santos","Armador","1.84",NA
"123",57,"André Luiz Bresolin Góes","Ala","1.95","78kg"
"124",87,"Darlan Ferreira De Oliveira","Pivô","2.07",NA
"125",308,"Thiago Francisco Labbate","Pivô","2.08",NA
"126",45,"Evandro Fernandes Pinto","Ala/Pivô","1.9",NA
"127",356,"Rômulo Gabriel De Oliveira Cardoso","Ala","1.87",NA
"128",329,"Rodrigo Stefanelli Martins","Armador","0",NA
"129",180,"Fernando Carneiro Coloneze","Pivô","2.07",NA
"130",70,"Jefferson de Souza Sobral","Pivô","2.03","95kg"
"131",161,"Thiago Perez Pereira da Silva","Ala","1.93","94kg"
"132",312,"Telmo Santos Oliveira","Armador","0",NA
"133",95,"Ricardo Luis Probst","Pivô","2",NA
"134",484,"Bruno Pires Fiorotto","Pivô","2.08","115kg"
"135",349,"Charles Márcio Lopes E Silva","Ala","2.03",NA
"136",193,"Marcelo Magalhães Machado","Ala","2","95kg"
"137",134,"José Roberto Nardi Duarte","Ala/Armador","1.95","95kg"
"138",266,"Erik Amadeu Duarte Jorge","Armador","0",NA
"139",321,"Mateus Nascimento Siqueira Dos Santos","Armador","0",NA
"140",155,"Luiz Felipe Campos Lemes","Ala/Armador","1.9",NA
"141",31,"Arthur Luiz Belchor Silva","Ala","1.97","89kg"
"142",40,"Audrei Parisotto","Ala","1.91","91kg"
"143",91,"Hélio Rubens Garcia Filho","Armador","1.83",NA
"144",446,"Rogério Klafke","Ala","2",NA
"145",97,"Cauê Verzola de Freitas","Armador","1.92","90kg"
"146",158,"João Gabriel Abreu Fidélis","Ala","1.88",NA
"147",173,"Wanderson De Jesus Jovino","Pivô","2.03",NA
"148",678,"Matheus Marin De Freitas","","0",NA
"149",296,"Raphael De Gouveia Bernardes","Armador","0",NA
"150",344,"Luiz Gabriel Penna","Armador","0",NA
"151",30,"Matheus dos Prazeres Costa","Armador","1.8",NA
"152",346,"Felipe Mello De Andrade Figueira","Armador","0",NA
"153",85,"André De Souza Silva","Ala/Pivô","2"," 114kg"
"154",789,"Rafael Diogo Da Silva","Armador",NA,"87kg"
"155",96,"Cauê Borges dos Santos","Ala/Armador","1.9","91kg"
"156",792,"Roberto Dias Ferreira","Pivô","2","107kg"
"157",151,"Edwandesson Carvalho","Ala/Armador","1.96","93kg"
"158",159,"William Fournou Drudi","Pivô","2.02","103kg"
"159",174,"Alessandro Magno Rocha Dos Santos","Ala/Pivô","2.03",NA
"160",273,"Luiz Felipe Elizeu Mendes Ribeiro","Ala/Pivô","2","98kg"
"161",343,"Willian Dias Da Silva","Ala","2","89kg"
"162",345,"João Victor De Freitas","Armador","0",NA
"163",80,"José Anibal Arantes Limonta Silva","Armador","1.84",NA
"164",347,"Marcelo Da Silva","Armador","0",NA
"165",147,"Alexandro da Silva de Oliveira","Ala",NA,"100kg"
"166",149,"Fernando Fischer","Ala/Armador","1.9",NA
"167",192,"Larry James Taylor Jr","Armador",NA,"89kg"
"168",292,"Otavio Augusto Troyano De Castro","Armador","1.88",NA
"169",333,"Daniel França","Armador","0",NA
"170",241,"André Luiz Brugger De Mello Rodrigues","Armador","1.93",NA
"171",146,"Guilherme Pereira Deodato","Ala","1.92","85kg"
"172",148,"Everton Vinicius De Moraes","Ala/Pivô","1.96",NA
"173",265,"Marcelo Machado Pereira","Armador","0",NA
"174",28,"Ricardo Leopoldo de Azevedo","Ala/Pivô","2.02","102kg"
"175",299,"Daniel Nascimento Costa Souza","Pivô","2.07",NA
"176",685,"João Paulo de Sousa Lustosa","Pivô","0",NA
"177",145,"Renato Carbonari","Ala/Pivô","2.05","106kg"
"178",93,"Felipe Taddei","Ala/Armador","1.9","92kg"
"179",53,"Raul Oliveira Rodrigues","Ala/Pivô","1.93",NA
"180",92,"Danilo Teixeira Aga","Ala/Pivô","1.89",NA
"181",828,"Daniel Almiro Zillmer","Ala","1.98","95kg"
"182",11259,"Rafael Leite Malfi","Armador","1.85",NA
"183",162,"João Vicente Guerra Alves","Ala/Pivô","1.75",NA
"184",105,"Jimmy Dreher de Oliveira","Ala",NA,"91kg"
"185",303,"Pedro Henrique Wald","Armador","0",NA
"186",313,"Edson Da Silva Kley","Armador","0",NA
"187",327,"Arthur Henrique Stela Bernardi","Ala/Pivô","2.07","103kg"
"188",176,"Lucas Santos Ferreira de Paulo","Ala/Pivô","1.98",NA
"189",778,"Gustavo NBB 08 Saldanha","Armador","0",NA
"190",295,"Guilherme Barros Da Luz","Armador","1.89",NA
"191",772,"Gorauskas","Ala/Armador","0",NA
"192",25,"Deivisson Dos Santos Costa","Pivô","2.1",NA
"193",773,"Douglas Grokala Gorauskas","Pivô","2.05",NA
"194",305,"Alan Silveira Foknik","Armador","0",NA
"195",1033,"Diego Dias Silva","Pivô","2.08","118kg"
"196",967,"Victor Daniel Chueke Pureza","Ala","1.94",NA
"197",283,"Daniel Moraes Dos Santos Bezerra","Armador","0",NA
"198",285,"João Victor Chaves Ramalho","Pivô","2",NA
"199",781,"Rafael Mihossi da Silva","Armador","1.9",NA
"200",130,"Rafael Donatti Alves Maia","Pivô","2.01",NA
"201",284,"Alírio Alves de Souza","Pivô","2.1","112kg"
"202",445,"Márcio da Silva Dornelles","Ala","1.96","100kg"
"203",281,"Eneias Matos Martins","Armador","2.02",NA
"204",301,"Alexandre Barbosa","Armador","0",NA
"205",100,"Lucas Daniel Tischer","Pivô","2.08",NA
"206",774,"Sylvester Morgan","Armador","0",NA
"207",779,"Marvin Kilgore","Ala","1.91",NA
"208",150,"Soriani","Pivô","1.86",NA
"209",1023,"Rafael Moreira da Silva","Ala",NA,"96kg"
"210",775,"Marcio nbb08 BIRA","Armador","0",NA
"211",207,"Ian","Ala/Pivô","1.92",NA
"212",521,"Leonardo Gregório Aparecido do Amaral","Ala","1.98",NA
"213",137,"Shamell Jermaine Stallworth","Ala",NA," 97kg"
"214",780,"Tiago Veiga Viera Souza","Armador","1.9",NA
"215",340,"Guilherme Schrnck Gazaro","Ala","1.92",NA
"216",298,"Carlos Henrique Rodrigues Do Nascimento","Ala/Pivô","2.11",NA
"217",324,"Bruno Irigoyen","Ala","1.98","90kg"
"218",159,"William Fournou Drudi","Pivô","2.02"," 103kg"
"219",59,"Manuil Egídio Leal De Souza","NOTFOUNDCONFIRMED",NA,NA
"220",86,"Guilherme Filipin Alves Pereira","Ala",NA," 97kg"
"221",21,"Felipe Gustavo Da Silva","Armador","1.87",NA
"222",11304,"Thiago César Carneiro Marcello","Ala","1.86","80kg"
"223",310,"Gustavo Santos Pereira Lima","Armador",NA,"80kg"
"224",776,"André Davis Carvalho","Armador","0",NA
"225",144,"João","Armador","1.98",NA
"226",68,"Rodrigo Alves Maistro","Ala","1.97","95kg"
"227",99,"Luis  Fernando de Souza","Ala/Armador","2.1",NA
"228",78,"Guilherme Giovannoni","Ala/Pivô",NA,"102kg"
"229",51,"Eric Aparecido Soares","Ala/Pivô","2.04",NA
"230",66,"Magen Pharez McNeil","Ala","1.98",NA
"231",11957,"João Paulo Lopes Batista","Pivô","2.06","120kg"
"232",139,"Delano Thomas","Ala/Armador","2.04",NA
"233",65,"Bruno Lira Barbosa da Silva","Ala/Pivô","2.01",NA
"234",52,"Marcos Martins da Rosa","Pivô","2.08",NA
"235",141,"Brown","Ala/Pivô","1.99",NA
"236",157,"Vitor Boccardo","Ala/Pivô","2",NA
"237",108,"Wanderson Camargo Trigueiro","Ala/Pivô","2.04",NA
"238",129,"Celinho","Ala/Pivô","1.88",NA
"239",63,"Johnnie Nascimento Silva Reis","Pivô","1.86",NA
"240",801,"Ralfi Silva Ansaloni","Pivô",NA,"113kg"
"241",212,"Daniel Campos Machado da Silva","Pivô","1.92",NA
"242",124,"Leonardo Quadrado","Armador","2",NA
"243",112,"Paulo Henrique Rossito","","2.02",NA
"244",11363,"Cicero da Silva Gonzaga","Ala","2.02",NA
"245",44,"Bernardo Guimarães  Barreto","Armador","1.83",NA
"246",948,"Caio Roberto Ranches de Souza","Ala","1.92",NA
"247",121,"Nailson Cunha da Silva","Pivô","2.02",NA
"248",135,"Antonie Mathew Stockman","Ala","1.81",NA
"249",156,"André Luiz Chueri da Silva Barbosa","Ala","2.01",NA
"250",214,"Fúlvio Chiantia de Assis","Armador",NA,"83kg"
"251",169,"Jeffries","Pivô","2.02",NA
"252",127,"Charles","Pivô","1.78",NA
"253",825,"Mark Antonio Borders","Armador","1.87",NA
"254",126,"Jose Guilherme Nascimento Haas","Ala","1.95",NA
"255",84,"Jonh Albert Thomas","Ala/Pivô","1.96",NA
"256",380,"Amiel Erick Vega Morejon","Ala/Pivô","2.04",NA
"257",448,"Lucas Fernandes Mariano","Pivô","2.07","120kg"
"258",163,"Jarjuan Stane Smith","Ala/Pivô","1.9",NA
"259",267,"Eduardo Magalhães Machado","NOTFOUNDCONFIRMED",NA,NA
"260",72,"Tramaine Deshaun Stevens","Pivô","1.95",NA
"261",232,"Rodrigo de Camargo Sant´anna","NOTFOUNDCONFIRMED",NA,NA
"262",156,"André Luiz Chueri da Silva Barbosa","NOTFOUNDCONFIRMED",NA,NA
"263",115,"Brenno","Ala/Pivô","1.91",NA
"264",309,"Fabricio Russo de Oliveira","Ala","2",NA
"265",113,"Paulo Fernando Moreira De Castro","Pivô","2.11",NA
"266",26,"Jhonatan Luz dos Santos","Ala","1.97","93kg"
"267",190,"Chinwuba Uzoma Jeffersom Agba","Pivô","2.08",NA
"268",71,"Harper Terry Williams","Pivô","2.02",NA
"269",342,"Joel Gabriel Muñoz Castillo","Armador","1.75",NA
"270",29,"Thyago Taroni Aleo","Armador","1.83",NA
"271",56,"Jamison Rudy Van Brewer","Armador","1.94",NA
"272",64,"James Clarence Parker","Ala/Armador","1.85",NA
"273",122,"Fernando Martins Alvim","Pivô","2.02"," 100kg"
"274",848,"Adriano de Abreu  Machado","Pivô",NA," 104kg"
"275",78,"Guilherme Giovannoni","Ala/Pivô",NA," 102kg"
